poi_sample_index
14271
14272
20260
20265
20266
20273
20274
20275
20276
20277
20278
20279
20280
20281
20760
20761
20762
20763
20765
20766
20767
20768
20769
20770
20771
20772
20773
20774
20775
20776
20777
20778
20779
20780
20781
20782
20783
20784
20785
20786
